,2,3,4,5
20000,0.9858,0.999,0.9999,1.0
40000,0.972,0.9993,1.0,1.0
60000,0.9604,0.9977,0.9998,1.0
80000,0.9499,0.9972,0.9995,0.9999
100000,0.9367,0.9951,0.9995,1.0
120000,0.9307,0.9965,0.9995,0.9998
140000,0.9128,0.9945,0.9996,1.0
160000,0.9083,0.9923,0.9993,1.0
180000,0.8985,0.9904,0.9992,1.0
200000,0.8884,0.992,0.9994,1.0
220000,0.8821,0.9903,0.9988,1.0
240000,0.8743,0.9911,0.9992,0.9999
260000,0.8714,0.9876,0.9989,1.0
280000,0.8579,0.99,0.9993,1.0
300000,0.8462,0.9866,0.9989,1.0
320000,0.8409,0.9871,0.9986,0.9998
340000,0.8309,0.9863,0.9984,0.9999
360000,0.8298,0.9854,0.9986,0.9999
380000,0.8205,0.9858,0.9989,0.9999
400000,0.8235,0.9831,0.9986,0.9998
420000,0.8105,0.9828,0.9982,0.9998
440000,0.8145,0.9818,0.9985,0.9998
460000,0.8054,0.9799,0.9975,0.9999
480000,0.798,0.9822,0.9978,0.9997
500000,0.8021,0.9799,0.998,0.9999
520000,0.7926,0.9787,0.9983,0.9999
540000,0.7892,0.9786,0.998,0.9998
560000,0.7836,0.9791,0.9973,0.9998
580000,0.7746,0.9787,0.9983,0.9997
600000,0.7691,0.9794,0.9973,0.9996
620000,0.7781,0.9764,0.9984,0.9997
640000,0.7593,0.978,0.9977,0.9999
660000,0.7546,0.975,0.9977,0.9998
680000,0.7538,0.9759,0.9968,0.9996
700000,0.7581,0.9754,0.9976,0.9999
720000,0.7535,0.9721,0.9973,0.9997
740000,0.752,0.9734,0.9977,0.9997
760000,0.7437,0.9708,0.9972,0.9998
780000,0.741,0.9712,0.9978,1.0
800000,0.7424,0.9684,0.9964,0.9997
820000,0.73,0.9692,0.9967,0.9995
840000,0.7378,0.9673,0.9978,0.9998
860000,0.7286,0.9682,0.9972,0.9991
880000,0.7226,0.9674,0.9966,0.9997
900000,0.7201,0.9703,0.9979,0.9998
920000,0.7198,0.9668,0.9967,0.9996
940000,0.7225,0.9664,0.9958,0.9999
960000,0.7212,0.9643,0.9976,0.9997
980000,0.7182,0.9652,0.9964,0.9992
1000000,0.7187,0.9663,0.9952,0.9997
